URL,Artist,Album,Date
http://pitchfork.com/news/21207-future-of-music-coalition-to-hold-conference/,Future of Music Coalition To Hold Conference,Ben Johnson,02.12.2001
http://pitchfork.com/news/21543-pixies-to-reunite-for-tour-in-april-2004-new-album-possible/,Pixies To Reunite For Tour In April 2004; New Album Possible,Admin,09.09.2003
http://pitchfork.com/news/22972-subtle-keyboardist-injured-in-auto-accident/,Subtle Keyboardist Injured in Auto Accident,Brian Howe,27.02.2005
http://pitchfork.com/news/23540-nike-pulls-major-threat-ad-issues-apology/,"Nike Pulls Major Threat Ad, Issues Apology",Caroline Bermudez,27.06.2005
http://pitchfork.com/news/24164-david-byrne-plays-a-factory-teams-with-fatboy-slim/,"David Byrne Plays a Factory, Teams With Fatboy Slim",Brendan Fitzpatrick and Amy Phillips,06.11.2005
http://pitchfork.com/news/24395-ted-leo-writes-showtunes-plans-tour/,"Ted Leo Writes Showtunes, Plans Tour",Amy Phillips and Zach Vowell,09.01.2006
http://pitchfork.com/news/24537-modest-mouse-working-with-the-smiths-johnny-marr/,Modest Mouse Working With The Smiths' Johnny Marr,Kati Llewellyn and Amy Phillips,01.02.2006
http://pitchfork.com/news/24579-jay-dee-dead-at-32/,J Dilla Dead at 32,Amy Phillips,09.02.2006
http://pitchfork.com/news/25005-beck-and-jamie-lidell-to-tour-together/,Beck and Jamie Lidell to Tour Together,Quanah Humphreys and Amy Phillips,27.04.2006
http://pitchfork.com/news/25506-sufjan-stevens-pens-personal-essay-for-itopici-magazine/,Sufjan Stevens Pens Personal Essay for Topic Magazine,Laura Pearson,30.08.2006
http://pitchfork.com/news/25546-video-big-black-live-at-touch-and-go-25th-anniversary/,Video: Big Black Live at Touch and Go 25th Anniversary,Ryan Schreiber,11.09.2006
http://pitchfork.com/news/25830-video-stephen-colbert-vs-the-decemberists/,Video: Stephen Colbert Vs. The Decemberists,Dave Maher,30.11.2006
http://pitchfork.com/news/25867-colbert-accepts-decemberists-counter-challenge/,Colbert Accepts Decemberists' Counter-challenge!,Amy Phillips,08.12.2006
http://pitchfork.com/news/25897-final-fantasy-talks-new-lp-arcade-fire-polaris-prize/,"Final Fantasy Talks New LP, Arcade Fire, Polaris Prize",Matthew Solarski and Amy Phillips,15.12.2006
http://pitchfork.com/news/25904-colbert-cheats-to-victory-over-decemberists/,Colbert Cheats to Victory Over Decemberists!,Matthew Solarski,20.12.2006
http://pitchfork.com/news/25965-ben-gibbard-goes-hollywood/,Ben Gibbard Goes Hollywood,Amy Phillips,15.01.2007
http://pitchfork.com/news/25966-v2-closes-shop-on-new-releases-white-stripes-are-free/,"V2 Closes Shop on New Releases, White Stripes Are Free",Matthew Solarski,15.01.2007
http://pitchfork.com/news/25980-djs-drama-cannon-arrested-for-illegal-cds/,"DJs Drama & Cannon Arrested for ""Illegal"" CDs",Dave Maher,17.01.2007
http://pitchfork.com/news/26205-nsfw-of-montreals-kevin-barnes-naked/,NSFW: Of Montreal's Kevin Barnes NAKED!,Amy Phillips,22.02.2007
http://pitchfork.com/news/26219-photos-bright-eyes-chicago-il-22507/,"Photos: Bright Eyes [Chicago, IL 2/25/07]",Amy Phillips,26.02.2007
http://pitchfork.com/news/26326-the-pitchfork-guide-to-sxsw-2007/,The Pitchfork Guide to SXSW 2007,Matthew Solarski,14.03.2007
http://pitchfork.com/news/26503-blur-drummer-rowntree-running-for-office-in-london/,Blur Drummer Rowntree Running for Office in London,Paul Thompson,11.04.2007
http://pitchfork.com/news/26661-report-bjork-new-york-ny-050207/,"Report: Bjork [New York, NY; 05/02/07]",Ryan Dombal and Kathryn Yu,03.05.2007
http://pitchfork.com/news/26674-blurs-rowntree-defeated-in-council-election/,Blur's Rowntree Defeated in Council Election,Matthew Solarski,04.05.2007
http://pitchfork.com/news/26762-elijah-wood-confirmed-to-play-iggy-pop-in-new-film/,Elijah Wood Confirmed to Play Iggy Pop in New Film,Paul Thompson,17.05.2007
http://pitchfork.com/news/26991-starbucks-to-release-sonic-youth-celebrity-compilation/,Starbucks to Release Sonic Youth Celebrity Compilation,Paul Thompson and Amy Phillips,15.06.2007
http://pitchfork.com/news/27072-photos-white-stripes-rock-a-tiny-classroom-burnaby-british-columbia-062407/,"Photos: White Stripes Rock a Tiny Classroom [Burnaby, British Columbia; 06/24/07]",Pitchfork Staff,27.06.2007
http://pitchfork.com/news/27092-photos-white-stripes-rock-remote-canada-jack-white-learns-spear-throwing/,"Photos: White Stripes Rock Remote Canada, Jack White Learns Spear-Throwing",Pitchfork Staff,29.06.2007
http://pitchfork.com/news/27111-photos-white-stripes-rock-a-city-bus-winnipeg-manitoba-070207/,"Photos: White Stripes Rock a City Bus [Winnipeg, Manitoba; 07/02/07]",Dave Maher,03.07.2007
http://pitchfork.com/news/27162-deerhunter-dudes-blog-about-their-poop/,Deerhunter Dudes Blog About Their Poop,Paul Thompson,10.07.2007
http://pitchfork.com/news/27177-photos-white-stripes-on-a-fishing-boat-charlottetown-prince-edward-island-071107/,"Photos: White Stripes on a Fishing Boat [Charlottetown, Prince Edward Island; 07/11/07]",Matthew Solarski,12.07.2007
http://pitchfork.com/news/27184-deerhunters-cox-explains-recent-blog-posts/,Deerhunter's Cox Explains Recent Blog Posts,Paul Thompson,12.07.2007
http://pitchfork.com/news/27208-white-stripes-close-canadian-tour-on-a-funny-note/,White Stripes Close Canadian Tour on a Funny Note,Matthew Solarski,17.07.2007
http://pitchfork.com/news/27238-wait-so-new-order-actually-not-breaking-up/,"Wait, So, New Order Actually Not Breaking Up",Matthew Solarski,20.07.2007
http://pitchfork.com/news/27248-lil-wayne-arrested-on-gun-charge/,Lil Wayne Arrested on Gun Charge,Dave Maher,23.07.2007
http://pitchfork.com/news/27287-fender-makes-mascis-guitar-dinosaur-jr-add-dates/,"Fender Makes Mascis Guitar, Dinosaur Jr. Add Dates",Paul Thompson,27.07.2007
http://pitchfork.com/news/27296-deerhunter-robbed-at-gunpoint/,Deerhunter Robbed at Gunpoint,Amy Phillips,30.07.2007
http://pitchfork.com/news/27305-peter-hook-vs-new-order-the-fight-continues/,Peter Hook vs. New Order: The Fight Continues,Paul Thompson,30.07.2007
http://pitchfork.com/news/27349-mia-confronts-the-haters/,M.I.A. Confronts the Haters,Paul Thompson,03.08.2007
http://pitchfork.com/news/27350-lollapalooza-report-friday-amy-phillips/,Lollapalooza Report: Friday [Amy Phillips],Amy Phillips and Kirstie Shanley,04.08.2007
http://pitchfork.com/news/27351-lollapalooza-report-friday-matthew-solarski/,Lollapalooza Report: Friday [Matthew Solarski],Matthew Solarski and Kirstie Shanley,04.08.2007
http://pitchfork.com/news/27354-lollapalooza-report-saturday-matthew-solarski/,Lollapalooza Report: Saturday [Matthew Solarski],Matthew Solarski and Kirstie Shanley,05.08.2007
http://pitchfork.com/news/27355-lollapalooza-report-saturday-amy-phillips/,Lollapalooza Report: Saturday [Amy Phillips],Amy Phillips and Kirstie Shanley,05.08.2007
http://pitchfork.com/news/27357-lollapalooza-report-sunday-matthew-solarski/,Lollapalooza Report: Sunday [Matthew Solarski],Matthew Solarski and Kirstie Shanley,06.08.2007
http://pitchfork.com/news/27358-lollapalooza-report-sunday-scott-plagenhoef/,Lollapalooza Report: Sunday [Scott Plagenhoef],Scott Plagenhoef and Kirstie Shanley,06.08.2007
http://pitchfork.com/news/27360-lollapalooza-report-sunday-amy-phillips/,Lollapalooza Report: Sunday [Amy Phillips],,06.08.2007
http://pitchfork.com/news/27375-photos-yeah-yeah-yeahs-new-york-ny-080707/,"Photos: Yeah Yeah Yeahs [New York, NY; 08/07/07]",Pitchfork Staff,08.08.2007
http://pitchfork.com/news/27472-the-latest-on-le-tigre-dvd-teaching-dj-dates/,"The Latest on Le Tigre: DVD, Teaching, DJ Dates",Matthew Solarski,20.08.2007
http://pitchfork.com/news/27493-yo-la-tengo-plot-freewheeling-storytelling-tour/,"Yo La Tengo Plot ""Freewheeling"" Storytelling Tour",Matthew Solarski,22.08.2007
http://pitchfork.com/news/27551-belle-and-sebastian-are-looking-for-a-few-good-ladies/,Belle and Sebastian Are Looking for a Few Good Ladies,Paul Thompson,29.08.2007
http://pitchfork.com/news/27570-guitarist-colin-mee-explains-why-he-left-deerhunter/,Guitarist Colin Mee Explains Why He Left Deerhunter,Amy Phillips and Paul Thompson,31.08.2007
http://pitchfork.com/news/27605-freebass-peter-hook-andy-rourke-mani-in-the-studio/,"Freebass (Peter Hook, Andy Rourke, Mani) in the Studio",Paul Thompson,07.09.2007
http://pitchfork.com/news/27770-new-radiohead-album-aaaaaaahhh/,NEW RADIOHEAD ALBUM AAAAAAAHHH!!!,Amy Phillips,30.09.2007
http://pitchfork.com/news/27897-ti-arrested-on-gun-charge/,T.I. Arrested on Gun Charge,Dave Maher,15.10.2007
http://pitchfork.com/news/27932-rivers-cuomo-dishes-on-new-weezer-lp-ialonei-demos/,"Rivers Cuomo Dishes on New Weezer LP, Alone Demos",Paul Thompson,18.10.2007
http://pitchfork.com/news/27970-illegal-torrent-site-oink-busted-by-police/,Illegal Torrent Site OiNK Busted by Police,Amy Phillips,23.10.2007
http://pitchfork.com/news/27987-oink-founder-i-havent-done-anything-wrong/,"OiNK Founder: ""I Haven't Done Anything Wrong""",Paul Thompson,25.10.2007
http://pitchfork.com/news/28053-photos-world-premiere-of-sufjan-stevens-bqe-brooklyn-ny-110107/,"Photos: World Premiere of Sufjan Stevens' ""BQE"" [Brooklyn, NY; 11/01/07]",Daphne Carr and Kathryn Yu,02.11.2007
http://pitchfork.com/news/28102-sufjan-announces-christmas-song-exchange-contest/,Sufjan Announces Christmas Song Exchange Contest,Matthew Solarski,09.11.2007
http://pitchfork.com/news/28104-polvo-reunite-for-all-tomorrows-parties/,Polvo Reunite for All Tomorrow's Parties,Amy Phillips,09.11.2007
http://pitchfork.com/news/28129-gorillaz-documentary-ibananazi-in-the-works/,Gorillaz Documentary Bananaz in the Works,Paul Thompson,14.11.2007
